split_role,concept,mapping_id,mapping_class,direction,estimate,ci_low,ci_high
validation,finnish,within_15009,within_layer,induction,0.04867117447093188,0.03314416632879766,0.06621652867663945
validation,finnish,within_15009,within_layer,rescue,0.15463124154953214,0.114345540482205,0.19631947439602696
validation,finnish,within_15010,within_layer,induction,0.038356860792049745,0.024026599574606795,0.05541021808373107
validation,finnish,within_15010,within_layer,rescue,0.1277056934760071,0.0935555375540901,0.16401086750719124
validation,finnish,within_15011,within_layer,induction,0.0463134463832968,0.03144148560170251,0.06317425948005431
validation,finnish,within_15011,within_layer,rescue,0.14970295909136733,0.11067132851347553,0.19011854563332578
validation,finnish,within_15012,within_layer,induction,0.042412554759834305,0.028009839683876846,0.058932978813240555
validation,finnish,within_15012,within_layer,rescue,0.13791324451115652,0.10171627129610775,0.17587076166058033
validation,finnish,within_15013,within_layer,induction,0.04258258600514251,0.028129896706387755,0.05935336711777377
validation,finnish,within_15013,within_layer,rescue,0.14387087387968583,0.10527309078626651,0.18441644304894356
validation,finnish,within_15014,within_layer,induction,0.2725869795033557,0.23443485682937762,0.31411268858258357
validation,finnish,within_15014,within_layer,rescue,0.4445232457713901,0.3461957759858845,0.538426720846299
validation,finnish,within_15015,within_layer,induction,0.4468129264246367,0.37479216955797606,0.530259607006868
validation,finnish,within_15015,within_layer,rescue,0.6452643709690395,0.5835639305751401,0.7039980351176712
validation,finnish,within_15016,within_layer,induction,0.16096981694646853,0.12835760378793198,0.19143421129456792
validation,finnish,within_15016,within_layer,rescue,0.2753356462782563,0.21391064025228837,0.32886717286667116
validation,finnish,within_15017,within_layer,induction,0.44187177638825215,0.37117034339710037,0.5228126377926193
validation,finnish,within_15017,within_layer,rescue,0.6429867271274389,0.5802643837210992,0.7026292435957355
validation,finnish,within_15018,within_layer,induction,0.039455962201351544,0.0254200679840622,0.05610431305806424
validation,finnish,within_15018,within_layer,rescue,0.13244382486279346,0.09643990027975399,0.17071829609309017
validation,finnish,within_15019,within_layer,induction,0.04199965917177582,0.0273687301804461,0.05900290275972527
validation,finnish,within_15019,within_layer,rescue,0.1397650576937025,0.10265472516598771,0.1787936444805801
validation,finnish,within_15020,within_layer,induction,0.12133879087511841,0.0895398033230174,0.15235262167744013
validation,finnish,within_15020,within_layer,rescue,0.23142437661846793,0.17826914432829596,0.2779990205284991
validation,finnish,within_15021,within_layer,induction,0.11897777520307021,0.0872656547144003,0.1501724220368978
validation,finnish,within_15021,within_layer,rescue,0.22062013331994615,0.16850649379818164,0.268024109760328
validation,finnish,within_15022,within_layer,induction,0.32914458060831264,0.2754542795301258,0.38320453630657103
validation,finnish,within_15022,within_layer,rescue,0.5001028664494972,0.400636889080654,0.5947293109703504
validation,finnish,within_15023,within_layer,induction,0.04496089127420391,0.02993200788893587,0.062438097233829024
validation,finnish,within_15023,within_layer,rescue,0.14325563086597715,0.10573532951053626,0.1825008782439908
validation,finnish,within_15024,within_layer,induction,0.043454331893816776,0.029310261348138647,0.05968783289466004
validation,finnish,within_15024,within_layer,rescue,0.1420497823396001,0.10428494423807427,0.181837231711052
validation,finnish,within_15025,within_layer,induction,0.04096205703176726,0.025790811893623776,0.05879136742607935
validation,finnish,within_15025,within_layer,rescue,0.13318786362869198,0.0973891065157924,0.1710686488406207
validation,finnish,within_15026,within_layer,induction,0.281942137451826,0.2429969544997771,0.32426621454274124
validation,finnish,within_15026,within_layer,rescue,0.4535403438565246,0.3546764549372226,0.5469943937199996
validation,finnish,within_15027,within_layer,induction,0.16500071109270195,0.13114199840011723,0.19659766797949974
validation,finnish,within_15027,within_layer,rescue,0.2789239858403255,0.21672036749659024,0.333097892502252
validation,finnish,within_15028,within_layer,induction,0.04442446708413003,0.030316399100537284,0.06062502912993583
validation,finnish,within_15028,within_layer,rescue,0.14816073290209975,0.10896638471542448,0.18897153668970496
validation,finnish,within_15029,within_layer,induction,0.32591387974361724,0.2724944082995044,0.3792219115198482
validation,finnish,within_15029,within_layer,rescue,0.49462901085622346,0.3939663055299968,0.590430486201767
validation,finnish,within_15030,within_layer,induction,0.3371191704888366,0.2829971662241464,0.391701479941517
validation,finnish,within_15030,within_layer,rescue,0.5134395571318532,0.41575746775604816,0.6061365525206723
validation,finnish,within_15031,within_layer,induction,0.037052499764607144,0.02343880748472658,0.053445989595318676
validation,finnish,within_15031,within_layer,rescue,0.1267448314592559,0.09219112653647436,0.1636951439030982
