scope,source_group,layer,earliest_positive_ci_layer,peak_layer,fraction,fraction_ci_low,fraction_ci_high
all_benign,trigger_other,2,6,11,-0.00017843380386529307,-0.00044308696224038625,1.0900101496515652e-05
all_benign,trigger_other,3,6,11,-0.00024674064435840334,-0.0004647500206006386,-6.774205936075746e-05
all_benign,trigger_other,4,6,11,0.00033973003535704835,-0.00017699502058671598,0.0008438059522205268
all_benign,trigger_other,5,6,11,0.00015240905954005753,-0.0001695086267731684,0.0005255746389236937
all_benign,trigger_other,6,6,11,0.005330278912396709,0.003671596225928239,0.007118732281495788
all_benign,trigger_other,7,6,11,0.0027092487116828533,0.0017871706523051643,0.0036739424827825712
all_benign,trigger_other,8,6,11,0.010728733889460067,0.008659425346346785,0.013037725938893071
all_benign,trigger_other,9,6,11,0.008863070644636649,0.007571330230312591,0.010222748618938701
all_benign,trigger_other,10,6,11,0.0237709907567493,0.021626369162237317,0.026106346114061704
all_benign,trigger_other,11,6,11,0.17226362165399353,0.15826464530870799,0.1873854422581017
all_benign,trigger_other,12,6,11,0.029879874853550707,0.026349805139946593,0.034187908493098114
all_benign,original_prompt,0,4,11,-6.005881526726276e-05,-0.00028146345056484506,0.0001301387094397623
all_benign,original_prompt,1,4,11,-0.0001624250959270859,-0.00038644175583697743,5.615080514946479e-05
all_benign,original_prompt,2,4,11,-0.00017768842407768067,-0.00038824763531883604,7.313611315513919e-06
all_benign,original_prompt,3,4,11,-0.00015482285455636682,-0.000502053901298555,0.0002812300953812791
all_benign,original_prompt,4,4,11,0.0008192561624722062,0.00021459177943280026,0.0014143133165049843
all_benign,original_prompt,5,4,11,0.00012807760979764965,-0.00028324739919073915,0.0005768305356079693
all_benign,original_prompt,6,4,11,0.004041946911341612,0.0026031215827908806,0.005688297050276514
all_benign,original_prompt,7,4,11,0.000832092250255211,0.0001390848600753682,0.001465735478233821
all_benign,original_prompt,8,4,11,0.004246079514953109,0.0014353795702092542,0.0068366502804758705
all_benign,original_prompt,9,4,11,0.010213863583413717,0.007601962162427938,0.012577512094429996
all_benign,original_prompt,10,4,11,0.014895958369303948,0.010456495383599539,0.01929514234785538
all_benign,original_prompt,11,4,11,0.04147395758392384,0.03621524832248223,0.046756846447354304
all_benign,original_prompt,12,4,11,0.01670882616040041,0.012300605414898292,0.022182070370802647
all_benign,template,0,11,12,-0.00040655186686375136,-0.0006124896541203715,-0.00020445785873010104
