concept,label,probe_role,source_condition,token_control,mapping_id,normalized_effect,ci_low,ci_high,source_destination_rms_ratio,delta_destination_natural_rms_ratio,patched_destination_rms_ratio
deception,1,target,irrelevant_concept,aligned,cross_15130,0.15775461748984182,0.12455344209266003,0.19262214002916328,1.7139846682548523,2.4012192264199257,1.8384263291954994
deception,1,other_safety,irrelevant_concept,aligned,cross_15130,-0.027843891892615796,-0.039290918789074605,-0.016029398451602526,1.7139846682548523,2.4012192264199257,1.8384263291954994
deception,1,target,irrelevant_concept,aligned,day14_seed_211_heads,0.04238555451866279,0.008926368171919202,0.08444453541805519,1.6726669520139694,2.3112028166651726,1.7632795572280884
deception,1,other_safety,irrelevant_concept,aligned,day14_seed_211_heads,0.06608230939549396,0.04876648394854133,0.08755697768880291,1.6726669520139694,2.3112028166651726,1.7632795572280884
deception,1,target,irrelevant_concept,aligned,day14_seed_223_heads,0.018698038971084144,-0.005575507105227737,0.04351636971918843,1.6470817178487778,2.1971159651875496,1.816902905702591
deception,1,other_safety,irrelevant_concept,aligned,day14_seed_223_heads,-0.003152608013063595,-0.017105454210172795,0.011431462604306759,1.6470817178487778,2.1971159651875496,1.816902905702591
deception,1,target,irrelevant_concept,aligned,within_15004,0.023217128430444017,-0.01580428324207362,0.06185138284707074,1.5624646469950676,1.8114751279354095,1.6267003864049911
deception,1,other_safety,irrelevant_concept,aligned,within_15004,0.09110725074555658,0.0731853128428689,0.11120568934792859,1.5624646469950676,1.8114751279354095,1.6267003864049911
deception,1,target,irrelevant_concept,aligned,within_15015,0.08125090022679565,0.03934075305575059,0.1223148813854893,1.6029261127114296,1.9044072926044464,1.6755610927939415
deception,1,other_safety,irrelevant_concept,aligned,within_15015,0.08989963118408739,0.07320350304644464,0.10927365654598292,1.6029261127114296,1.9044072926044464,1.6755610927939415
deception,1,target,irrelevant_concept,reverse_valid_response_tokens,cross_15122,0.15157263637799048,0.11333417788046181,0.19324472858822905,1.5835791006684303,2.250037521123886,1.687216803431511
deception,1,other_safety,irrelevant_concept,reverse_valid_response_tokens,cross_15122,-0.010265687890708013,-0.02122929188893811,-0.0007365719005159004,1.5835791006684303,2.250037521123886,1.687216803431511
deception,1,target,irrelevant_concept,reverse_valid_response_tokens,cross_15130,0.158372709611886,0.12538951367486198,0.19146240057481212,1.7139846682548523,2.4012192264199257,1.8384263291954994
deception,1,other_safety,irrelevant_concept,reverse_valid_response_tokens,cross_15130,-0.03658604557719253,-0.045080100702961666,-0.02843649469224411,1.7139846682548523,2.4012192264199257,1.8384263291954994
deception,1,target,irrelevant_concept,reverse_valid_response_tokens,day14_seed_211_heads,0.0444028470566413,0.01293734374033638,0.08240142624004654,1.6726669520139694,2.3112028166651726,1.7632795572280884
deception,1,other_safety,irrelevant_concept,reverse_valid_response_tokens,day14_seed_211_heads,0.0536447852257746,0.03878864573735616,0.07102872593425169,1.6726669520139694,2.3112028166651726,1.7632795572280884
deception,1,target,irrelevant_concept,reverse_valid_response_tokens,day14_seed_223_heads,0.033797198387201285,0.018442178870124053,0.04972352313018895,1.6470817178487778,2.1971159651875496,1.816902905702591
deception,1,other_safety,irrelevant_concept,reverse_valid_response_tokens,day14_seed_223_heads,-0.0014849480674953258,-0.013862450982630814,0.011292166619465648,1.6470817178487778,2.1971159651875496,1.816902905702591
deception,1,target,irrelevant_concept,reverse_valid_response_tokens,within_15004,0.027745554680335446,-0.01259805410433713,0.06813606317257224,1.5624646469950676,1.8114751279354095,1.6267003864049911
deception,1,other_safety,irrelevant_concept,reverse_valid_response_tokens,within_15004,0.06735253077301932,0.046655083104093095,0.0897296060843596,1.5624646469950676,1.8114751279354095,1.6267003864049911
deception,1,target,irrelevant_concept,reverse_valid_response_tokens,within_15015,0.0782741062697813,0.03946923942739403,0.11650215803467451,1.6029261127114296,1.9044072926044464,1.6755610927939415
deception,1,other_safety,irrelevant_concept,reverse_valid_response_tokens,within_15015,0.06865200332604807,0.04998334311337289,0.08963101864024535,1.6029261127114296,1.9044072926044464,1.6755610927939415
deception,1,target,malformed_trigger,aligned,cross_15122,-0.0009622059695290667,-0.009460889440069632,0.00771200368080779,1.1633807122707367,0.7030368112027645,1.1195220202207565
deception,1,other_safety,malformed_trigger,aligned,cross_15122,-0.006224267124292674,-0.01003382662464085,-0.0030364845742090994,1.1633807122707367,0.7030368112027645,1.1195220202207565
deception,1,target,malformed_trigger,aligned,cross_15130,0.020685064908858325,0.0140618893786083,0.027843358535766277,1.207573026418686,0.6826931610703468,1.1085554733872414
deception,1,other_safety,malformed_trigger,aligned,cross_15130,-0.0036825780831362875,-0.0067391196403510985,-0.0002721674744514827,1.207573026418686,0.6826931610703468,1.1085554733872414
deception,1,target,malformed_trigger,aligned,day14_seed_211_heads,0.003547614922194576,-0.002357791059317586,0.010004337186766878,1.1806706562638283,0.6691057085990906,1.0984729155898094
deception,1,other_safety,malformed_trigger,aligned,day14_seed_211_heads,-0.012380826679773731,-0.0178806068889543,-0.007466902056330525,1.1806706562638283,0.6691057085990906,1.0984729155898094
