split,concept,group_id,group_role,set_size,label,n_examples,patched_mean,triggered_mean,fraction,ci_low,ci_high,raw_score_change,positive_example_fraction
validation,finnish,selected_k2,selected_prefix,2,1,64,0.631659016944468,0.23285730302380614,0.6394097593931413,0.6026740687451547,0.673166040542806,0.3988017139206619,1.0
validation,finnish,selected_k2,selected_prefix,2,0,64,0.028597181898021518,0.011737761058962626,0.027031173252066214,0.0189014213443112,0.03640989409893486,0.016859420839058892,1.0
validation,finnish,selected_k4,selected_prefix,4,1,64,0.67281026346609,0.23285730302380614,0.7053886850563162,0.6722356622826833,0.7365086719434787,0.4399529604422838,1.0
validation,finnish,selected_k4,selected_prefix,4,0,64,0.03452096922956116,0.011737761058962626,0.036528944450485476,0.025754674534345465,0.048909699208047275,0.022783208170598535,1.0
validation,finnish,selected_k8,selected_prefix,8,1,64,0.7747196508571506,0.23285730302380614,0.8687828094972755,0.8422310039762032,0.8925537773519926,0.5418623478333444,1.0
validation,finnish,selected_k8,selected_prefix,8,0,64,0.041210346498701256,0.011737761058962626,0.047254207058062284,0.033714988765001556,0.06288479241458662,0.02947258543973863,1.0
validation,finnish,selected_k16,selected_prefix,16,1,64,0.8147441097535193,0.23285730302380614,0.9329551255617424,0.9167224946512617,0.9471064535318396,0.5818868067297132,1.0
validation,finnish,selected_k16,selected_prefix,16,0,64,0.05308414536739292,0.011737761058962626,0.06629179544521524,0.04924217014481215,0.08572915962423952,0.041346384308430295,1.0
validation,finnish,random_k1,random_prefix,1,1,64,0.2270366002412878,0.23285730302380614,-0.009332492905006574,-0.011484311584794396,-0.007324010813021939,-0.005820702782518339,0.015625
validation,finnish,random_k1,random_prefix,1,0,64,0.012104313765386898,0.011737761058962626,0.0005877040384692933,0.0002648931956700157,0.000980956875340081,0.0003665527064242724,0.6875
validation,finnish,random_k2,random_prefix,2,1,64,0.22714509157000684,0.23285730302380614,-0.009158545772958179,-0.011246229501889762,-0.00726175365915877,-0.0057122114537992985,0.015625
validation,finnish,random_k2,random_prefix,2,0,64,0.011880860832528484,0.011737761058962626,0.00022943580378684432,4.3199002850616245e-05,0.0004564707672977901,0.0001430997735658579,0.59375
validation,finnish,random_k4,random_prefix,4,1,64,0.22631745920665836,0.23285730302380614,-0.010485511510171412,-0.01307753948537804,-0.008039861121681417,-0.0065398438171477835,0.03125
validation,finnish,random_k4,random_prefix,4,0,64,0.012827540575699459,0.011737761058962626,0.001747273480190954,0.000984152376861037,0.00268662369734833,0.001089779516736833,0.890625
validation,finnish,random_k8,random_prefix,8,1,64,0.21897344787796946,0.23285730302380614,-0.022260366915109978,-0.026806445502524697,-0.017882795711770635,-0.013883855145836677,0.015625
validation,finnish,random_k8,random_prefix,8,0,64,0.012105382910137408,0.011737761058962626,0.0005894182276611074,-1.3836588828974751e-05,0.0013443663413004565,0.00036762185117478197,0.53125
validation,finnish,random_k16,random_prefix,16,1,64,0.22015423569310322,0.23285730302380614,-0.02036717732636305,-0.024722553163161638,-0.016233383819184617,-0.012703067330702922,0.015625
validation,finnish,random_k16,random_prefix,16,0,64,0.011341164957727301,0.011737761058962626,-0.0006358734398959627,-0.0011098907124534416,-0.00020006277640047308,-0.00039659610123532474,0.265625
validation,finnish,all_layer11_components,full_relevant_block,17,1,64,0.7204001273494214,0.23285730302380614,0.7816908230688098,0.7507526886290682,0.8097620205108389,0.48754282432561524,1.0
validation,finnish,all_layer11_components,full_relevant_block,17,0,64,0.03992076599752181,0.011737761058962626,0.04518658716277448,0.032874178333695256,0.05930294552951265,0.028183004938559186,1.0
validation,finnish,control_outside_layer11_k17,full_block_control,17,1,64,0.22260436342528322,0.23285730302380614,-0.01643882012770931,-0.019896339092038647,-0.013171545731752967,-0.010252939598522914,0.015625
